,halodule,zostera,other,shannonD,avg_blade_length,avg_shoot_density,depth_m_avg,total_abund_sum,comm_evenness_sum,omnivore,carn_2,omni_2,piscivore,num_bai_chr,num_ops_tau,seagrass_perim.area.ratio,saltmarsh_area,oyster_area,oyster_perim.area.ratio,habitat_total,NNratio,dist2adjPatch,avg_temp,avg_spl_low,avg_spl_high,BI_low,BI_high
halodule,1,-0.140125219,0.009427847,0.152357433,0.062006332,0.68444865,-0.409484878,0.448347355,-0.178372458,-0.094854288,0.281093393,0.349783876,-0.200117966,0.54616052,-0.202543317,-0.41076105,-0.145719175,-0.03918608,-0.518386961,0.176191412,-0.203162717,0.536377335,0.298514301,-0.386694577,-0.066470623,-0.66543205,-0.11553258
zostera,-0.140125219,1,-0.198697051,0.41850968,-0.070271677,-0.273379045,0.203028072,0.0128539,0.320958994,-0.175952154,-0.405929352,-0.520355896,0.60662652,0.223310581,0.18089511,0.451541305,0.230433794,0.042790314,0.055115807,0.427392177,0.103229853,0.288958135,0.116715764,0.477098871,0.359573666,0.023198244,0.2419632
other,0.009427847,-0.198697051,1,-0.155956484,-0.412761426,0.411799675,-0.424281141,-0.211308381,-0.528983921,-0.195658381,-0.147572026,-0.205886748,-0.248739113,-0.17509229,-0.090909091,-0.004626281,-0.212853192,-0.166894185,0.326833817,-0.188382807,-0.092598068,-0.134969168,-0.636337477,0.231700706,-0.56952939,-0.240329579,-0.652576962
shannonD,0.152357433,0.41850968,-0.155956484,1,-0.034518305,0.247533537,0.408613007,0.230950773,0.092727047,-0.434035673,-0.191742375,-0.422295471,0.513609609,0.277641862,0.197801015,-0.07498695,0.228114195,0.069659836,-0.333683852,0.673465855,0.689832741,0.138842463,0.014398784,0.060364841,0.215094721,0.095828295,0.389415558
avg_blade_length,0.062006332,-0.070271677,-0.412761426,-0.034518305,1,-0.041542737,0.552643477,0.119223349,0.592683416,0.484903706,0.650714616,0.597414204,0.002541024,0.142058545,-0.281891561,-0.046931846,0.056597836,0.25286916,0.154330336,0.075404923,0.263590676,-0.147733334,0.770588078,-0.190928477,0.78315248,0.283963672,0.317312264
avg_shoot_density,0.68444865,-0.273379045,0.411799675,0.247533537,-0.041542737,1,-0.127831528,0.247886597,-0.516648784,-0.35809574,0.140108463,-0.046023089,-0.066016229,0.08412353,-0.250161903,-0.590036285,0.066393651,0.3763684,-0.206374722,0.22334266,0.186217748,0.063501873,-0.14980892,-0.18838806,-0.188222405,-0.291978029,-0.252057431
depth_m_avg,-0.409484878,0.203028072,-0.424281141,0.408613007,0.552643477,-0.127831528,1,0.171376927,0.232539645,0.055667172,0.269736956,-0.107627561,0.561935837,-0.252802426,0.202349467,0.121862893,0.236306551,0.530714698,0.312182439,0.268528893,0.800546572,-0.44284415,0.34391726,0.268502259,0.664399904,0.581754481,0.694338592
total_abund_sum,0.448347355,0.0128539,-0.211308381,0.230950773,0.119223349,0.247886597,0.171376927,1,-0.38245142,0.316319721,0.520764941,0.071960219,0.372281869,0.459072199,0.401978866,0.041113935,0.073679263,0.276983889,0.174901291,0.274013914,0.033362486,-0.097548502,0.484440307,-0.05033011,0.144450445,-0.551484913,0.651745596
comm_evenness_sum,-0.178372458,0.320958994,-0.528983921,0.092727047,0.592683416,-0.516648784,0.232539645,-0.38245142,1,0.243601009,0.048585401,0.316751702,-0.08907913,0.244717248,-0.38926394,0.214917647,0.126360483,-0.223266503,-0.25485695,0.212844716,0.03904603,0.215305385,0.519181208,-0.249338523,0.603053957,0.418166126,0.110247635
omnivore,-0.094854288,-0.175952154,-0.195658381,-0.434035673,0.484903706,-0.35809574,0.055667172,0.316319721,0.243601009,1,0.682254723,0.39463788,-0.197683862,0.465311874,-0.168964464,0.116587084,-0.143093049,-0.074684037,0.343028837,-0.070157472,-0.308959262,-0.166294086,0.475320799,-0.26881878,0.107250489,-0.002919415,0.204321065
carn_2,0.281093393,-0.405929352,-0.147572026,-0.191742375,0.650714616,0.140108463,0.269736956,0.520764941,0.048585401,0.682254723,1,0.572362187,-0.284799902,0.313084945,-0.199028079,0.037219092,-0.227583969,0.121597356,0.212281263,-0.021627293,0.091378026,-0.242878433,0.635600792,-0.34216535,0.216574739,-0.190328077,0.355850037
omni_2,0.349783876,-0.520355896,-0.205886748,-0.422295471,0.597414204,-0.046023089,-0.107627561,0.071960219,0.316751702,0.39463788,0.572362187,1,-0.421667588,0.123226349,-0.205886748,-0.116345881,-0.353131631,-0.220626032,-0.137133498,-0.360585153,-0.221000743,0.189132197,0.571408764,-0.349594522,0.303608231,-0.156458069,-0.031087642
piscivore,-0.200117966,0.60662652,-0.248739113,0.513609609,0.002541024,-0.066016229,0.561935837,0.372281869,-0.08907913,-0.197683862,-0.284799902,-0.421667588,1,-0.026939447,0.538198048,0.101245408,0.356958517,0.475116599,0.2381228,0.413253558,0.425591135,-0.03802035,0.090401959,0.553399509,0.468206447,0.201966461,0.57608137
num_bai_chr,0.54616052,0.223310581,-0.17509229,0.277641862,0.142058545,0.08412353,-0.252802426,0.459072199,0.244717248,0.465311874,0.313084945,0.123226349,-0.026939447,1,-0.239206987,-0.086609576,-0.04236269,-0.259186969,-0.364427699,0.511931376,-0.230512732,0.485517875,0.399093807,-0.43012538,-0.01101437,-0.367282121,0.126666045
num_ops_tau,-0.202543317,0.18089511,-0.090909091,0.197801015,-0.281891561,-0.250161903,0.202349467,0.401978866,-0.38926394,-0.168964464,-0.199028079,-0.205886748,0.538198048,-0.239206987,1,0.211487895,-0.229138407,-0.124715171,0.349736568,-0.326515581,0.200806898,-0.086324081,-0.111417421,0.671600908,0.018149524,-0.243942397,0.384497785
seagrass_perim.area.ratio,-0.41076105,0.451541305,-0.004626281,-0.07498695,-0.046931846,-0.590036285,0.121862893,0.041113935,0.214917647,0.116587084,0.037219092,-0.116345881,0.101245408,-0.086609576,0.211487895,1,0.069824435,-0.178517228,0.442176019,0.028057702,-0.093465107,-0.254056898,0.238169785,0.297559161,0.195495124,-0.179937263,0.346804936
saltmarsh_area,-0.145719175,0.230433794,-0.212853192,0.228114195,0.056597836,0.066393651,0.236306551,0.073679263,0.126360483,-0.143093049,-0.227583969,-0.353131631,0.356958517,-0.04236269,-0.229138407,0.069824435,1,0.665683504,0.07189292,0.645842599,-0.026573447,-0.449767341,0.183550985,-0.310008996,0.372598772,0.241023659,0.332703555
oyster_area,-0.03918608,0.042790314,-0.166894185,0.069659836,0.25286916,0.3763684,0.530714698,0.276983889,-0.223266503,-0.074684037,0.121597356,-0.220626032,0.475116599,-0.259186969,-0.124715171,-0.178517228,0.665683504,1,0.267796802,0.393824395,0.257725289,-0.479999758,0.193790985,-0.018426941,0.404692246,0.295210508,0.405441947
oyster_perim.area.ratio,-0.518386961,0.055115807,0.326833817,-0.333683852,0.154330336,-0.206374722,0.312182439,0.174901291,-0.25485695,0.343028837,0.212281263,-0.137133498,0.2381228,-0.364427699,0.349736568,0.442176019,0.07189292,0.267796802,1,-0.28245579,0.018831524,-0.696901564,0.007867933,0.518199375,0.154260231,0.01297678,0.157092369
habitat_total,0.176191412,0.427392177,-0.188382807,0.673465855,0.075404923,0.22334266,0.268528893,0.274013914,0.212844716,-0.070157472,-0.021627293,-0.360585153,0.413253558,0.511931376,-0.326515581,0.028057702,0.645842599,0.393824395,-0.28245579,1,0.271164456,0.020534133,0.244036463,-0.346915036,0.269787316,0.136330266,0.41440494
NNratio,-0.203162717,0.103229853,-0.092598068,0.689832741,0.263590676,0.186217748,0.800546572,0.033362486,0.03904603,-0.308959262,0.091378026,-0.221000743,0.425591135,-0.230512732,0.200806898,-0.093465107,-0.026573447,0.257725289,0.018831524,0.271164456,1,-0.199933481,-0.033003362,0.295849104,0.31781254,0.479700781,0.389354828
dist2adjPatch,0.536377335,0.288958135,-0.134969168,0.138842463,-0.147733334,0.063501873,-0.44284415,-0.097548502,0.215305385,-0.166294086,-0.242878433,0.189132197,-0.03802035,0.485517875,-0.086324081,-0.254056898,-0.449767341,-0.479999758,-0.696901564,0.020534133,-0.199933481,1,0.001238418,0.01046365,-0.110897385,-0.247662126,-0.305666384
avg_temp,0.298514301,0.116715764,-0.636337477,0.014398784,0.770588078,-0.14980892,0.34391726,0.484440307,0.519181208,0.475320799,0.635600792,0.571408764,0.090401959,0.399093807,-0.111417421,0.238169785,0.183550985,0.193790985,0.007867933,0.244036463,-0.033003362,0.001238418,1,-0.308602892,0.756406896,-0.1567433,0.609373249
avg_spl_low,-0.386694577,0.477098871,0.231700706,0.060364841,-0.190928477,-0.18838806,0.268502259,-0.05033011,-0.249338523,-0.26881878,-0.34216535,-0.349594522,0.553399509,-0.43012538,0.671600908,0.297559161,-0.310008996,-0.018426941,0.518199375,-0.346915036,0.295849104,0.01046365,-0.308602892,1,0.088539268,0.040678476,0.01817739
avg_spl_high,-0.066470623,0.359573666,-0.56952939,0.215094721,0.78315248,-0.188222405,0.664399904,0.144450445,0.603053957,0.107250489,0.216574739,0.303608231,0.468206447,-0.01101437,0.018149524,0.195495124,0.372598772,0.404692246,0.154260231,0.269787316,0.31781254,-0.110897385,0.756406896,0.088539268,1,0.288506811,0.553726396
BI_low,-0.66543205,0.023198244,-0.240329579,0.095828295,0.283963672,-0.291978029,0.581754481,-0.551484913,0.418166126,-0.002919415,-0.190328077,-0.156458069,0.201966461,-0.367282121,-0.243942397,-0.179937263,0.241023659,0.295210508,0.01297678,0.136330266,0.479700781,-0.247662126,-0.1567433,0.040678476,0.288506811,1,0.058933481
BI_high,-0.11553258,0.2419632,-0.652576962,0.389415558,0.317312264,-0.252057431,0.694338592,0.651745596,0.110247635,0.204321065,0.355850037,-0.031087642,0.57608137,0.126666045,0.384497785,0.346804936,0.332703555,0.405441947,0.157092369,0.41440494,0.389354828,-0.305666384,0.609373249,0.01817739,0.553726396,0.058933481,1
